Animated history of the US.	Yes	y
Animated history of the US.	Uphold, and continue	y
Of course the cartoon is highly oversimplified, and most critics consider it one of the weakest parts of the film.	Yes	y
Of course the cartoon is highly oversimplified, and most critics consider it one of the weakest parts of the film.	Uphold, and continue	y
But it makes a valid claim which you ignore entirely: That the strategy to promote "gun rights" for white people and to outlaw gun possession by black people was a way to uphold racism without letting an openly terrorist organization like the KKK flourish.	Yes	y
But it makes a valid claim which you ignore entirely: That the strategy to promote "gun rights" for white people and to outlaw gun possession by black people was a way to uphold racism without letting an openly terrorist organization like the KKK flourish.	Uphold, and continue	y
I highly doubt it.	Yes	y
I highly doubt it.	Uphold, and continue	y
Of course the cartoon is highly oversimplified, and most critics consider it one of the weakest parts of the film.	The strategy to promote "gun rights" for white people while outlawing it for black people allowed racisim to continue without allowing to KKK to flourish	y
But if they didn't, one of their functions was to continue the racism of the KKK.	The strategy to promote "gun rights" for white people while outlawing it for black people allowed racisim to continue without allowing to KKK to flourish	y
It is by now well documented that the CIA tolerated crack sales in US cities to fund the operation of South American "contras" It is equally well known that the so-called "war on drugs" begun under the Nixon administration is a failure which has cost hundreds of billions and made America the world leader in prison population (both in relative and absolute numbers).	Animated history of the US and one of the key messages is continuing the racist goals of the KKK	y
It is by now well documented that the CIA tolerated crack sales in US cities to fund the operation of South American "contras" It is equally well known that the so-called "war on drugs" begun under the Nixon administration is a failure which has cost hundreds of billions and made America the world leader in prison population (both in relative and absolute numbers).	Animated, key message: how gun rights are promoted for whites, outlawed for blacks	y
It is by now well documented that the CIA tolerated crack sales in US cities to fund the operation of South American "contras" It is equally well known that the so-called "war on drugs" begun under the Nixon administration is a failure which has cost hundreds of billions and made America the world leader in prison population (both in relative and absolute numbers).	It is an animated history of the US and one of the key messages is  to continue the racism of the KKK	y
I highly doubt it.	Animated history of the US and one of the key messages is continuing the racist goals of the KKK	y
I highly doubt it.	Animated, key message: how gun rights are promoted for whites, outlawed for blacks	y
I highly doubt it.	It is an animated history of the US and one of the key messages is  to continue the racism of the KKK	y
Of course the cartoon is highly oversimplified, and most critics consider it one of the weakest parts of the film.	Discussion of a strategy to promote "gun rights" for white people was discussed by NRS and KKK	y
Of course the cartoon is highly oversimplified, and most critics consider it one of the weakest parts of the film.	The discussion of gun rights being promoted by the NRA	y
Of course the cartoon is highly oversimplified, and most critics consider it one of the weakest parts of the film.	Gun rights promoted by the NRA	y
But it makes a valid claim which you ignore entirely: That the strategy to promote "gun rights" for white people and to outlaw gun possession by black people was a way to uphold racism without letting an openly terrorist organization like the KKK flourish.	Discussion of a strategy to promote "gun rights" for white people was discussed by NRS and KKK	y
But it makes a valid claim which you ignore entirely: That the strategy to promote "gun rights" for white people and to outlaw gun possession by black people was a way to uphold racism without letting an openly terrorist organization like the KKK flourish.	The discussion of gun rights being promoted by the NRA	y
But it makes a valid claim which you ignore entirely: That the strategy to promote "gun rights" for white people and to outlaw gun possession by black people was a way to uphold racism without letting an openly terrorist organization like the KKK flourish.	Gun rights promoted by the NRA	y
You write: "Fact: The little boy was the class thug, already suspended from school for stabbing another kid with a pencil, and had fought with Kayla the day before".	Bastard	y
It is the typical right-wing reaction which looks for simple answers that do not contradict the Republican mindset.	Bastard	y
Buell shooting in Flint.	Bastard	y
But it makes a valid claim which you ignore entirely: That the strategy to promote "gun rights" for white people and to outlaw gun possession by black people was a way to uphold racism without letting an openly terrorist organization like the KKK flourish.	No, but assumes they weren't	y
Did the 19th century NRA in the southern states promote gun rights for black people?	No, but assumes they weren't	y
The kid was a little bastard, and the parents were involved in drugs -- case closed.	CIA tolerated crack sales, which raises questions about how the epidemic spread in the U.S	y
The kid was a little bastard, and the parents were involved in drugs -- case closed.	It is believed the CIA tolerated crack sales, raising other questions "Why do people deal drugs" and "do they do it because it is fun"?	y
The kid was a little bastard, and the parents were involved in drugs -- case closed.	CIA tolerated crack sales in US cities to fund the operation of South American "contras"	y
But why do people deal with drugs?	CIA tolerated crack sales, which raises questions about how the epidemic spread in the U.S	y
But why do people deal with drugs?	It is believed the CIA tolerated crack sales, raising other questions "Why do people deal drugs" and "do they do it because it is fun"?	y
But why do people deal with drugs?	CIA tolerated crack sales in US cities to fund the operation of South American "contras"	y
Because it's so much fun to do so?	CIA tolerated crack sales, which raises questions about how the epidemic spread in the U.S	y
Because it's so much fun to do so?	It is believed the CIA tolerated crack sales, raising other questions "Why do people deal drugs" and "do they do it because it is fun"?	y
Because it's so much fun to do so?	CIA tolerated crack sales in US cities to fund the operation of South American "contras"	y
It is by now well documented that the CIA tolerated crack sales in US cities to fund the operation of South American "contras" It is equally well known that the so-called "war on drugs" begun under the Nixon administration is a failure which has cost hundreds of billions and made America the world leader in prison population (both in relative and absolute numbers).	Nixon	y
It is by now well documented that the CIA tolerated crack sales in US cities to fund the operation of South American "contras" It is equally well known that the so-called "war on drugs" begun under the Nixon administration is a failure which has cost hundreds of billions and made America the world leader in prison population (both in relative and absolute numbers).	The war on drugs began with the Nixon administration and it was an animated story of the US that covered gun rights and other matters	y
It is by now well documented that the CIA tolerated crack sales in US cities to fund the operation of South American "contras" It is equally well known that the so-called "war on drugs" begun under the Nixon administration is a failure which has cost hundreds of billions and made America the world leader in prison population (both in relative and absolute numbers).	"war on drugs" begun under the Nixon administration	y
Because it's so much fun to do so?	Nixon	y
Because it's so much fun to do so?	The war on drugs began with the Nixon administration and it was an animated story of the US that covered gun rights and other matters	y
Because it's so much fun to do so?	"war on drugs" begun under the Nixon administration	y
Animated history of the US.	Nixon	y
Animated history of the US.	The war on drugs began with the Nixon administration and it was an animated story of the US that covered gun rights and other matters	y
Animated history of the US.	"war on drugs" begun under the Nixon administration	y
